TE,TI,TR,RESISTOR,VENTOINHA,DATA,HORA,PID
24.370001,37.930664,39.000000,0,43,22/3/2021,10:45:18,-43
24.379999,38.542969,39.000000,0,45,22/3/2021,10:45:20,-45
24.370001,37.350586,39.000000,0,36,22/3/2021,10:45:22,-36
24.360001,37.092773,39.000000,0,31,22/3/2021,10:45:24,-31
24.360001,36.802734,39.000000,0,25,22/3/2021,10:45:26,-25
24.350000,36.834961,39.000000,0,21,22/3/2021,10:45:28,-21
24.350000,36.190430,39.000000,0,12,22/3/2021,10:45:30,-12
24.350000,37.253906,39.000000,0,14,22/3/2021,10:45:32,-14
24.360001,37.672852,39.000000,0,13,22/3/2021,10:45:34,-13
24.370001,36.867188,39.000000,0,5,22/3/2021,10:45:36,-5
24.360001,36.125977,39.000000,4,0,22/3/2021,10:45:38,4
24.379999,36.029297,39.000000,10,0,22/3/2021,10:45:40,10
24.379999,35.159180,39.000000,22,0,22/3/2021,10:45:42,22
24.370001,34.708008,36.000000,12,0,22/3/2021,10:45:44,12
24.379999,35.932617,36.000000,6,0,22/3/2021,10:45:46,6
24.379999,36.738281,36.000000,1,0,22/3/2021,10:45:48,1
24.389999,36.319336,36.000000,2,0,22/3/2021,10:45:50,2
24.389999,36.093750,36.000000,4,0,22/3/2021,10:45:52,4
24.379999,35.739258,36.000000,6,0,22/3/2021,10:45:54,6
24.389999,35.739258,36.000000,5,0,22/3/2021,10:45:56,5
24.360001,35.674805,36.000000,6,0,22/3/2021,10:45:58,6
24.340000,36.029297,36.000000,3,0,22/3/2021,10:46:00,3
24.330000,36.222656,36.000000,2,0,22/3/2021,10:46:02,2
24.320000,36.770508,36.000000,0,2,22/3/2021,10:46:04,-2
24.320000,36.351562,36.000000,3,0,22/3/2021,10:46:06,3
24.309999,36.287109,36.000000,1,0,22/3/2021,10:46:08,1
24.320000,35.739258,36.000000,6,0,22/3/2021,10:46:10,6
24.330000,36.029297,36.000000,0,0,22/3/2021,10:46:12,0
24.309999,36.287109,36.000000,0,0,22/3/2021,10:46:14,0
24.309999,38.961914,36.000000,0,29,22/3/2021,10:46:16,-29
24.320000,38.510742,36.000000,0,16,22/3/2021,10:46:18,-16
24.330000,39.316406,36.000000,0,33,22/3/2021,10:46:20,-33
24.330000,39.509766,36.000000,0,37,22/3/2021,10:46:22,-37
24.340000,38.865234,36.000000,0,36,22/3/2021,10:46:24,-36
24.330000,38.865234,36.000000,0,45,22/3/2021,10:46:26,-45
24.340000,36.802734,36.000000,0,36,22/3/2021,10:46:28,-36
24.350000,37.157227,36.000000,0,41,22/3/2021,10:46:30,-41
24.340000,36.673828,36.000000,0,39,22/3/2021,10:46:32,-39
24.350000,37.125000,36.000000,0,44,22/3/2021,10:46:34,-44
24.350000,35.739258,36.000000,0,37,22/3/2021,10:46:36,-37
24.360001,34.224609,36.000000,0,25,22/3/2021,10:46:38,-25
