TE,TI,TR,PID,DATA,HORA
24.799999,47.115234,45.000000,46,20/3/2021, 21:23:19
24.799999,47.695312,45.000000,38,20/3/2021, 21:23:20
24.799999,47.695312,45.000000,38,20/3/2021, 21:23:21
24.790001,47.308594,45.000000,40,20/3/2021, 21:23:22
24.790001,47.308594,45.000000,35,20/3/2021, 21:23:23
24.799999,47.083008,45.000000,36,20/3/2021, 21:23:24
24.809999,47.083008,45.000000,32,20/3/2021, 21:23:25
24.809999,47.211914,45.000000,29,20/3/2021, 21:23:26
24.809999,47.211914,45.000000,27,20/3/2021, 21:23:27
24.809999,48.082031,45.000000,16,20/3/2021, 21:23:28
24.830000,48.082031,45.000000,17,20/3/2021, 21:23:29
24.830000,47.727539,45.000000,18,20/3/2021, 21:23:30
24.830000,47.727539,45.000000,13,20/3/2021, 21:23:31
24.830000,50.015625,45.000000,-14,20/3/2021, 21:23:32
24.830000,50.015625,45.000000,-7,20/3/2021, 21:23:33
24.840000,51.336914,45.000000,-27,20/3/2021, 21:23:34
24.840000,51.336914,45.000000,-27,20/3/2021, 21:23:35
24.830000,51.852539,45.000000,-39,20/3/2021, 21:23:36
24.840000,51.852539,45.000000,-43,20/3/2021, 21:23:37
24.840000,51.046875,45.000000,-41,20/3/2021, 21:23:38
24.840000,51.046875,45.000000,-51,20/3/2021, 21:23:39
24.830000,50.821289,45.000000,-55,20/3/2021, 21:23:40
24.830000,50.821289,45.000000,-61,20/3/2021, 21:23:41
24.840000,50.821289,45.000000,-67,20/3/2021, 21:23:42
24.840000,49.274414,45.000000,-56,20/3/2021, 21:23:43
24.830000,49.274414,45.000000,-68,20/3/2021, 21:23:44
24.830000,49.209961,45.000000,-72,20/3/2021, 21:23:45
24.840000,49.209961,45.000000,-76,20/3/2021, 21:23:46
24.830000,49.306641,45.000000,-81,20/3/2021, 21:23:47
24.840000,49.306641,45.000000,-85,20/3/2021, 21:23:48
24.840000,49.757812,45.000000,-95,20/3/2021, 21:23:49
24.850000,49.757812,45.000000,-97,20/3/2021, 21:23:50
24.840000,50.241211,45.000000,-100,20/3/2021, 21:23:51
24.840000,50.241211,45.000000,-100,20/3/2021, 21:23:52
24.840000,50.176758,45.000000,-100,20/3/2021, 21:23:53
